# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 495, mean track length: 2.6020202020202019
107 1.0265075956022784 0.42584089653103513 16.288848042992846 93 77 64 0.90247474971174779 82 2347 8 97
108 1.5511841354928118 0.43385665658359546 16.010149431533254 61 35 22 0.29361878436663952 82 2348 8 100
109 2.3487534809771926 0.40802331424938304 15.708139641345138 33 31 26 0.1777993879560146 82 2351 8 531
110 -3.014536088903033 0.80042024076182439 16.676174737551111 139 123 123 0.0092006974256495146 82 2352 8 91
111 -2.8265716758706954 0.75133076369346175 16.687043367809377 181 143 140 0.058646615786362329 82 2353 8 92
112 -2.8265716758706954 0.75133076369346175 16.687043367809377 181 143 140 0.058646615786362329 82 2354 8 93
388 -0.75844981056722216 2.1378035927042509 15.963007734144812 254 215 205 0.070156829834274695 82 2798 8 1273
389 -1.7750572748559506 -0.52056387248096081 16.079302656864229 250 230 229 0.33721745975901829 82 2799 8 1277
390 -1.6682778896465302 0.68153533354516327 17.005649461319809 149 74 35 1.2674417340765078 82 1635 6 114 70 77 16 112
391 -2.7124843839928201 1.0266945737859734 16.556689064314924 184 121 90 0.087731541521268719 82 1659 6 138 54 168
392 -1.5894345921332695 1.1793747375831913 16.853574214633479 134 64 38 0.69361872443934836 82 1681 6 139 54 170 42 141
393 -1.5684541831321037 1.1688520534557352 16.803967041109495 134 64 38 0.22088259088963269 82 1682 6 140 54 169 5 156
394 -1.4498608102235389 0.96691906641166803 16.846971583855478 172 115 81 0.44296857351741642 82 701 6 141 54 702
395 -1.440331730670521 1.2608565707491775 16.592332210277647 208 152 119 1.153334365046409 82 2373 6 155 54 712
396 -1.318324431293987 1.3006749075783608 16.832494961226146 204 135 104 0.54863106153387975 82 1683 6 156 70 496
397 -0.69589066530664234 1.3210889435623321 16.678991457457666 155 97 72 0.42788795253662965 82 1686 6 159 54 729
398 -2.5942257423241428 3.3124841649974206 16.054729116077258 252 113 106 1.1247850976432501 8 185 82 2423 6 216 20 980
